OID_,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,PCT95,PCT100
24,25,970638.000000000000000,0.070494847764800,1,3729,3728,552.329928355999982,510.222901987000000,536112417.000000000000000,2397,62,2243,383,1290,1520,3729
25,26,503085.000000000000000,0.036537721053300,1,4369,4368,1306.421787570000106,657.592740789000004,657241205.000000000000000,3109,964,2624,1212,2321,2466,4369
26,27,5944.000000000000000,0.000431696858266,2,2222,2220,536.577388963999965,322.968156970999985,3189416.000000000000000,917,636,2,553,971,1153,2222
27,28,675383.000000000000000,0.049051265011200,1,2848,2847,803.373832329000038,548.688972786000022,542585029.000000000000000,2278,62,1965,851,1512,1657,2848
28,29,942015.000000000000000,0.068416035656100,1,2894,2893,604.129460784000003,518.309848669999951,569099014.000000000000000,2394,56,2250,495,1360,1571,2894
29,30,345888.000000000000000,0.025120922428000,1,2958,2957,424.101252428999999,396.713576821999993,146691534.000000000000000,1969,121,1608,309,956,1202,2958
30,31,1509892.000000000000000,0.109659426770000,1,3762,3761,419.594790223000018,403.873362782000015,633542817.000000000000000,2400,66,2785,290,984,1197,3762
31,32,32392.000000000000000,0.002352544521020,1,3800,3799,987.289608544999965,641.660218602999976,31980285.000000000000000,2237,730,4,902,1883,2181,3800
32,33,4486.000000000000000,0.000325806208981,3,1653,1650,481.002006241999993,301.415559480000013,2157775.000000000000000,722,312,5,458,905,1123,1653
33,34,833479.000000000000000,0.060533355607500,1,3025,3024,847.314585010999963,509.874520066000002,706218913.000000000000000,2382,78,1952,832,1534,1667,3025
34,35,646199.000000000000000,0.046931708969500,1,3458,3457,593.662625599999956,524.658291498000040,383624195.000000000000000,2362,77,1959,474,1362,1577,3458
35,36,832688.000000000000000,0.060475907388300,1,3778,3777,471.289867273000027,453.136513449000006,392437417.000000000000000,2372,91,1956,329,1130,1347,3778
