ID,meanAGB,100Y,AGBeq,c,t
616,62.56448304,61.87411795,62.57275809,1,22.24719101
617,60.31939842,60.06550838,60.32231428,1,18.31791421
618,56.19898102,56.12999751,56.20021825,1.000000001,14.9587912
622,52.91882571,52.03685208,52.63946592,0.998614129,22.37854393
623,57.51912715,57.10261835,57.53755212,1.002381685,20.46090572
626,55.87076002,55.79615493,55.87410098,1,15.2094972
630,80.56301108,73.88415342,75.34396619,0.969677879,25.55408142
631,96.80622329,86.02621321,87.78257701,1.059064327,25.1988094
632,54.53712796,50.65770989,50.76343161,0.987330381,16.23011996
633,59.31848105,47.45969128,47.72533975,0.969441999,19.37948016
634,84.16687687,61.57192681,64.09533487,0.992243853,30.98727885
635,57.86880109,51.23974562,51.48991216,0.988789699,18.81195618
636,67.91958567,57.29391685,58.68336066,0.997788628,26.73035393
637,86.91702079,73.0287361,84.49330522,1.193923405,46.23042193
638,51.27974484,51.23760838,51.28386072,1,14.26326129
641,62.18870879,61.7324379,62.19820367,1,20.43151968
643,56.59295995,56.47540224,56.60037157,1,16.35135135
648,45.2958151,45.24980715,45.43380397,1.1284424,17.76293362
649,37.23024937,36.53657456,37.22893405,1.000457908,25.09290807
650,53.72711398,52.8752547,53.76332008,1.016070051,24.27707537
651,60.97931539,58.23972851,59.01950163,0.994726079,23.14082293
652,84.29613067,84.44300208,85.94542191,2.659853405,19.92264081
653,61.93990109,54.39371603,55.03640905,0.996087446,22.49118769
654,75.90127053,57.89121773,60.87517435,1.111920339,32.05996979
655,56.54969114,56.34994354,56.78165478,1.066376302,20.22964424
656,57.14445082,57.02899824,57.14623605,1,16.15727003
657,64.81136731,64.67264264,64.80559393,1,16.15727003
658,74.98239462,74.96761781,74.9716089,0.999995547,10.1617791
662,45.59108956,36.76821563,37.91838338,1.133857828,27.6293112
663,55.44518107,47.65660474,48.8014055,1.048439451,26.32074136
664,83.22731939,64.85930612,65.98884365,0.959620111,24.83348035
665,68.67306432,61.7110885,62.48638162,0.983235075,22.86936471
666,62.86614521,52.95798356,53.56097861,0.992476711,22.32562365
667,50.78620794,50.24765682,50.74884688,1.004065102,21.63708064
668,96.84838271,65.29916367,68.81096441,1.300688703,30.93944677
670,65.88096775,65.76186445,65.88862217,1,15.99118943
671,64.67866362,64.66584166,64.67958539,1.001489053,11.82297788
672,71.19273602,71.13433587,71.1389023,0.99855428,10.36032091
678,65.34287982,63.47550384,64.8876005,1.189944929,25.00163863
679,115.1531087,76.70405495,82.87405933,0.983634343,38.73331603
680,95.50102339,93.49430289,96.2414969,2.85872803,21.75202468
681,98.51457467,78.51819777,81.44414783,1.880678044,25.32027496
682,85.07995718,71.92474856,74.22070214,1.67227604,25.10172019
683,81.56190883,71.53999349,71.81475575,0.972982784,18.05509335
684,73.45553484,73.31659934,73.32195485,0.99343881,10.50651073
685,76.95598769,76.81825693,76.82319361,0.994348128,10.36602211
691,64.46697987,63.97509995,64.62090833,1.092213262,21.30572889
692,84.14310553,69.89090759,73.24742315,1.003914776,32.39647002
693,63.04658451,62.12532584,63.43067381,1.08292433,25.23755149
694,80.64204248,69.15393212,73.49610824,1.212498001,33.15372204
695,96.44784433,63.55472083,67.00165283,1.014937705,33.53819928
696,92.08173237,73.23943089,76.28406643,1.450386078,27.88136482
697,78.50475389,78.44697762,78.45126254,1.009291361,10.17875934
698,76.44526206,75.80564567,75.84610589,0.989162451,13.28859716
699,85.94629393,85.91618446,85.94965364,1.000293017,12.73693056
700,81.58042185,81.42320197,81.45778806,1.042953809,12.8099416
703,69.90072796,68.41637721,68.91608853,1.220266069,19.51209158
704,60.60891103,60.16452532,60.61495404,1.031826861,20.27035361
705,80.75571881,60.66248012,62.79690895,0.996289542,29.60284733
706,53.6126386,51.69999757,52.88567162,1.018941955,26.20287006
707,70.52841862,65.10280429,67.76889982,1.133091822,29.77877901
708,94.07006355,72.42182947,81.09736869,1.055187116,43.74535973
709,84.98394356,78.05461717,78.26112621,0.957188405,16.96707978
710,74.68680833,74.57243924,74.6335347,0.998625449,14.07155955
711,75.99938878,75.50371507,75.59746813,0.994647137,14.95405406
712,75.21838433,71.7897803,72.44664966,0.977860485,21.36370861
713,72.34875857,72.11058926,72.35207734,1,17.53623188
714,65.24026744,64.61604937,65.24207747,1.000000001,21.52173913
715,57.38954003,56.95667093,57.33132588,1.0181363,19.80781486
716,78.35705721,69.41150666,73.36955562,0.986997399,34.39934761
717,69.86444649,59.66588499,60.8566701,0.97970315,25.55187616
718,55.99366349,52.54164613,53.31807932,0.995858965,23.66751341
720,81.5443548,76.26213951,76.62832437,0.962454507,18.84868941
721,104.5720888,79.80982715,81.26308257,0.927302535,25.3221266
722,98.62039645,78.26018315,79.69675962,0.937592563,25.30281278
723,70.69704529,70.38795091,70.70309232,1,18.47328244
724,67.26178189,67.05890457,67.26560703,1,17.28571429
725,98.15966788,73.91312173,77.43750038,0.967385062,32.70766432
726,60.93956479,59.884082,60.35288597,0.9950711,20.60641577
727,57.43941256,56.67058527,57.44747674,1.001910666,23.2276081
728,120.9739204,66.85721803,74.55294064,0.961836329,44.76164982
729,65.71227586,65.52842562,65.69298608,0.999666003,16.69689982
730,63.99126315,63.13278046,63.50198109,0.998164863,19.43387301
731,69.39850836,63.14117749,64.2121426,0.975467839,24.57603322
732,71.90071909,64.62424857,65.74075908,0.982907956,24.64013324
733,61.12608133,60.75199961,61.06721877,0.999456019,18.99003531
734,95.12147332,71.66324497,74.66847521,0.968047375,31.43761576
735,54.93280947,54.27821758,54.65289044,0.997357686,20.08004952
736,50.34315909,49.69185438,50.33988366,1,22.97468352
737,64.38664594,64.03966381,64.15279517,0.994791221,15.78468295
738,68.88239402,65.51857067,66.29212335,0.983983671,22.54902299
739,75.83734488,68.1544664,69.39446378,0.977216513,24.98837836
740,63.58756901,62.71350674,63.18892443,0.996649108,20.46518723
741,66.62250838,66.36403816,66.5984051,0.999611184,17.70174767
742,72.27756014,68.69087044,69.32751697,0.978593145,21.41857805
743,70.61679558,69.82973857,70.15314293,0.992349357,18.61549075
744,65.83845441,65.30237734,65.41682809,1.007376064,15.73382704
745,65.84308247,65.7719596,65.85348975,1,14.9382716
746,65.49984422,65.43113191,65.51223957,1,14.9382716
747,74.38594555,74.29805835,74.39015735,1,14.9382716
749,66.2827951,66.17524229,66.28999152,1,15.72563177
750,63.02110379,62.86976475,63.03095778,1,16.75384615
751,59.1048887,58.96360905,59.12411053,1,16.92307692
752,62.18071306,62.10974103,62.19184969,1.000000001,15.08310248
753,47.07734423,46.919742,47.0827687,1,17.64991896
754,40.9642466,40.71958267,40.96567471,1,19.55116697
755,38.57993914,38.04863796,38.58318333,1,23.36909871
756,38.60438266,38.06027136,38.61269812,1,23.54594595
757,35.08315782,34.60565074,35.09182558,1,23.36909871
758,35.66758621,35.16860313,35.66268688,1,23.36909871
759,72.03064827,71.95502589,72.02992561,1,14.55882353
30,112.8508061,54.41348307,58.09755102,0.874207243,38.04702608
31,62.85442203,56.6081102,56.81333041,0.976342701,17.85859421
32,135.9831192,98.68286702,99.32153931,1.178602467,19.19176804
33,72.21488531,52.763946,54.03072591,0.920379659,27.23958675
38,135.8456986,95.30924862,95.86514516,1.089847299,19.09886353
43,34.69958923,32.72651112,34.70151929,1,34.88926746
44,28.97228968,26.30633163,28.96531998,0.999978037,41.8737218
45,104.7265889,95.8309287,96.45416519,1.110012353,19.4327676
46,44.57042005,27.64585796,28.41019034,0.953774257,28.02038781
52,31.09943655,25.57989958,30.85050627,0.999647153,56.60312832
53,35.88221729,28.28237431,35.741402,1.00296815,63.71392752
54,145.3165464,95.41898493,95.90139672,1.108750027,18.53477458
55,87.5835429,45.64390162,51.71707145,0.959924093,47.53849533
73,61.75821107,60.47863129,62.31277926,2.411491266,22.74216372
74,59.78932941,59.31093569,59.33601983,0.990495173,12.88794628
90,87.05264355,57.78344518,58.03588492,0.84073065,18.99489323
96,31.25798336,28.83740688,31.27237733,1,39.17266432
98,53.23291766,47.82086168,48.7877556,0.962953449,25.74811533
105,37.22616292,34.46076393,37.22948839,1,38.48056539
106,80.97710441,81.10451986,81.10805252,2.329313897,9.1852285
112,38.30977416,35.46479141,38.31418384,0.999999992,38.48056615
120,36.47990025,35.78853553,36.47913048,0.999999999,25.20833337
121,35.39861486,34.95891043,35.40432946,0.999999996,22.85414484
125,41.92848661,41.92178235,41.95207636,1,13.82488479
126,53.09377641,47.07113081,48.26898848,0.838055139,28.392958
133,47.47221632,47.69798205,47.70780032,0.998892337,11.78203631
139,33.6441351,33.16308399,35.27676467,0.985593479,35.70498606
140,78.14973471,77.1888992,77.21358365,0.983781239,12.45049703
144,43.79277454,43.66652846,43.78593912,1,16.93623639
145,30.76137052,29.87236558,30.77110988,1.000000005,28.3018897
154,49.93600674,36.91217036,37.61506971,0.985441924,25.21800883
182,100.7736267,90.15759667,90.58803604,1.169693389,18.16310232
183,77.39245041,77.45844395,77.47905854,1.07930705,12.03648447
185,22.8,21.15045662,22.79999811,1.00000005,38.07691561
186,38.68482324,35.88879739,38.68779591,1.000000009,38.07692453
198,102.6655319,102.6773563,102.6776705,1.0367927,7.853504935
199,38.62690319,35.83016423,38.62458959,0.999999999,38.07692321
200,29.8,27.64401104,29.79998422,1.000000291,38.07687518
215,39.09598849,36.27365979,39.10267389,1.000000005,38.07692379
216,38.6231922,35.8344642,38.62922495,1.000000001,38.07692333
217,34.95043618,34.77522512,34.95157369,1,18.90624999
218,34.97972949,34.79692501,34.97357973,1.000965228,18.90676032
230,35.8933665,35.6757863,35.88941313,1,19.51612903
231,38.09915654,35.88987953,38.10121829,0.999999985,35.12903427
233,36.66198566,34.79795369,36.66944832,1.000000002,33.61111173
248,36.71329496,35.11741053,36.71297194,1,31.88872621
249,35.17288601,33.64452359,35.1731643,1,31.88872621
250,34.65171469,34.47022112,34.64511816,1.000485984,18.90645345
264,51.00890259,48.9230251,49.48593585,1.201733663,21.46323745
283,61.65076266,54.29355576,56.08125867,1.001280128,29.0096492
299,80.65737218,74.1314137,76.32741453,1.028339147,27.96468306
301,36.36610938,34.44530824,35.36939516,0.991177176,27.50236168
381,45.59571659,41.263415,42.58173313,0.988543126,28.87063679
382,37.76614885,37.51725974,37.76315594,1,19.86420951
383,34.52175838,32.23816921,34.52419937,1,36.83453237
403,35.07646686,34.31758604,35.07302344,1,26.05597964
404,31.83063506,31.14819614,31.84080573,1.003044329,26.10254595
424,42.8407,41.07304072,42.83486805,1,31.3381295
425,47.59431891,42.01320436,42.68351248,1.101260935,23.53184558
445,44.44751157,42.56779923,44.45602799,1,31.65697674
460,51.77829913,50.87832148,51.77775089,0.999997891,24.67336686
461,49.22833481,47.31676298,48.53403185,0.996612899,27.15689824
465,43.44516844,41.25167862,43.44890612,1,33.50769243
487,62.2086117,61.99884054,62.21426087,1,17.64991896
504,40.22579201,39.09736888,40.22417245,0.999910471,27.97206772
519,73.14068123,73.11634289,73.14161085,1,12.54608295
525,42.52188797,41.31371968,42.56334873,1.005862861,28.29729964
530,67.16733562,67.11449477,67.17031213,1.0007513,14.09710993
544,42.92299846,42.62971701,42.7528872,0.99717875,17.10336176
548,88.95358334,57.23325805,61.03291929,1.203110566,33.82905003
552,55.38212017,55.12649834,55.39108441,1.000226613,18.71175767
556,60.09999983,60.09994049,60.1,1.102437544,7.18239717
566,66.03823262,66.01921521,66.04182189,1,12.53164557
567,66.67759504,66.59878778,66.6860251,1,15.06224066
568,55.70770405,47.01499838,47.30616064,0.97473897,19.7432998
569,45.52075869,45.42794375,45.54441735,1,16.75384615
570,37.16565977,36.89066525,37.16900204,1,20.43151969
574,41.4444508,39.86357654,41.44321811,1.001625415,30.59302386
576,56.57957824,56.51906567,56.61644978,1.023368336,15.65319634
577,71.52897384,67.98775219,68.10643151,0.997272367,15.74884279
580,64.0855892,58.77722895,58.85946877,1.164288695,14.86926921
597,47.8417197,44.04156685,44.56638517,0.997081898,22.52872325
599,45.10411162,44.86570233,45.10728959,1.000000012,19.12203687
600,43.73612716,43.70460901,43.74927347,1.000000019,14.52
601,43.01865765,42.97186896,43.01578458,1,14.52
602,44.24985542,44.02667024,44.24585066,1,18.84083044
603,71.57740388,67.41428139,67.79987333,1.003824303,19.32986413
621,48.53873786,46.00318425,46.64024191,0.993884098,23.32488616
624,50.91618713,50.81970889,50.92809898,1,16.25373134
625,51.53476678,51.43001239,51.54381723,1,16.35135135
627,60.19037828,60.14139,60.22540625,1,15.20949721
628,51.53814024,51.46140527,51.53329576,1,15.20949721
629,76.43914361,69.58426904,70.08111342,0.962309962,20.36306427
639,51.48169054,51.43494509,51.48137557,1,14.26326129
640,80.06400042,57.43875296,58.08041364,0.938587214,22.50981062
642,53.82625176,53.19202613,53.5546251,1.006029452,19.99539698
647,35.32545088,29.94976266,31.65856927,0.998153601,34.27690379
659,78.03734524,77.7086261,77.71350716,1.015233864,10.31934121
660,32.01257102,31.40005721,31.81376692,0.997714166,23.04032598
661,29.84649619,26.50591009,28.35045306,0.998178007,36.62133696
673,76.21693817,74.82265523,74.83868545,1.031611212,11.792824
674,54.34518379,46.43559491,48.28275684,0.966248352,30.96199036
675,24.49071852,19.30885603,24.4989498,0.999999302,64.43806053
676,40.26038406,39.69567937,40.01963069,1.075179872,20.45518382
677,66.08425012,56.95473235,59.08840854,1.10116974,29.27501785
686,74.74023888,74.5411735,74.54573974,0.994018896,10.31514843
687,59.35962198,59.3265645,59.3705168,1,13.87261146
688,55.8150522,50.64677693,52.23189904,0.972118433,28.84176688
689,69.68608995,63.17676325,66.0028687,1.352628498,29.00921725
690,69.96655848,69.59852327,70.08532073,1.3007398,19.11406774
701,58.98013857,56.92640468,57.10008173,0.977638923,17.3226667
702,63.10885239,63.01198521,63.12490979,1.073595884,15.63207626
748,69.2221073,69.11933005,69.21369388,1,15.15657619
